"group","species_name","data_quality","exposure_factor","score","type"
"Flatfish","Alaska plaice",3,"BT",1.42,"anomaly"
"Flatfish","Alaska plaice",3,"BS",1.63,"anomaly"
"Flatfish","Alaska plaice",3,"BpH",4,"anomaly"
"Flatfish","Alaska plaice",3,"PhT",1,"anomaly"
"Flatfish","Alaska plaice",3,"ZP",1,"anomaly"
"Flatfish","Alaska plaice",3,"BO2",2.26,"anomaly"
"Flatfish","Alaska plaice",3,"MHW",2.29,"anomaly"
"Elasmobranch","Alaska skate",3,"BT",1.78,"anomaly"
"Elasmobranch","Alaska skate",3,"BS",1.47,"anomaly"
"Elasmobranch","Alaska skate",3,"BpH",4,"anomaly"
"Elasmobranch","Alaska skate",3,"PhT",1,"anomaly"
"Elasmobranch","Alaska skate",3,"ZP",1,"anomaly"
"Elasmobranch","Alaska skate",3,"BO2",2.2,"anomaly"
"Elasmobranch","Alaska skate",3,"MHW",2.69,"anomaly"
"Flatfish","Arrowtooth flounder",3,"BT",1.63,"anomaly"
"Flatfish","Arrowtooth flounder",3,"BS",1.43,"anomaly"
"Flatfish","Arrowtooth flounder",3,"BpH",4,"anomaly"
"Flatfish","Arrowtooth flounder",3,"PhT",1,"anomaly"
"Flatfish","Arrowtooth flounder",3,"ZP",1,"anomaly"
"Flatfish","Arrowtooth flounder",3,"BO2",1.93,"anomaly"
"Flatfish","Arrowtooth flounder",3,"MHW",2.92,"anomaly"
"Groundfish","Atka mackerel",3,"BT",1.62,"anomaly"
"Groundfish","Atka mackerel",3,"BS",1.33,"anomaly"
"Groundfish","Atka mackerel",3,"BpH",4,"anomaly"
"Groundfish","Atka mackerel",3,"PhT",1,"anomaly"
"Groundfish","Atka mackerel",3,"ZP",1,"anomaly"
"Groundfish","Atka mackerel",3,"BO2",2.43,"anomaly"
"Groundfish","Atka mackerel",3,"MHW",2.73,"anomaly"
"Elasmobranch","Big skate",3,"BT",1.53,"anomaly"
"Elasmobranch","Big skate",3,"BS",1.45,"anomaly"
"Elasmobranch","Big skate",3,"BpH",4,"anomaly"
"Elasmobranch","Big skate",3,"PhT",1,"anomaly"
"Elasmobranch","Big skate",3,"ZP",1,"anomaly"
"Elasmobranch","Big skate",3,"BO2",1.87,"anomaly"
"Elasmobranch","Big skate",3,"MHW",2.7,"anomaly"
"Rockfish","Black rockfish",2,"BT",1.48,"anomaly"
"Rockfish","Black rockfish",2,"BS",1.39,"anomaly"
"Rockfish","Black rockfish",2,"BpH",4,"anomaly"
"Rockfish","Black rockfish",2,"PhT",1,"anomaly"
"Rockfish","Black rockfish",2,"ZP",1,"anomaly"
"Rockfish","Black rockfish",2,"BO2",1.99,"anomaly"
"Rockfish","Black rockfish",2,"MHW",3.15,"anomaly"
"Forage","Capelin",2,"SST",1.05,"anomaly"
"Forage","Capelin",2,"SS",1.81,"anomaly"
"Forage","Capelin",2,"SpH",4,"anomaly"
"Forage","Capelin",2,"PhT",1,"anomaly"
"Forage","Capelin",2,"ZP",1,"anomaly"
"Forage","Capelin",2,"SO2",3.15,"anomaly"
"Forage","Capelin",2,"AT",2.12,"anomaly"
"Forage","Capelin",2,"MHW",2.92,"anomaly"
"Salmon","Chinook salmon",2,"SST",1.02,"anomaly"
"Salmon","Chinook salmon",2,"SS",1.51,"anomaly"
"Salmon","Chinook salmon",2,"SpH",4,"anomaly"
"Salmon","Chinook salmon",2,"PhT",1,"anomaly"
"Salmon","Chinook salmon",2,"ZP",1,"anomaly"
"Salmon","Chinook salmon",2,"SO2",2.91,"anomaly"
"Salmon","Chinook salmon",2,"AT",2.62,"anomaly"
"Salmon","Chinook salmon",2,"PR",1.92,"anomaly"
"Salmon","Chinook salmon",2,"MHW",2.59,"anomaly"
"Salmon","Chum salmon",2,"SST",1.04,"anomaly"
"Salmon","Chum salmon",2,"SS",1.86,"anomaly"
"Salmon","Chum salmon",2,"SpH",4,"anomaly"
"Salmon","Chum salmon",2,"PhT",1,"anomaly"
"Salmon","Chum salmon",2,"ZP",1,"anomaly"
"Salmon","Chum salmon",2,"SO2",3.26,"anomaly"
"Salmon","Chum salmon",2,"AT",2.29,"anomaly"
"Salmon","Chum salmon",2,"PR",1.98,"anomaly"
"Salmon","Chum salmon",2,"MHW",3.14,"anomaly"
"Salmon","Coho salmon",2,"SST",1.02,"anomaly"
"Salmon","Coho salmon",2,"SS",1.51,"anomaly"
"Salmon","Coho salmon",2,"SpH",4,"anomaly"
"Salmon","Coho salmon",2,"PhT",1,"anomaly"
"Salmon","Coho salmon",2,"ZP",1,"anomaly"
"Salmon","Coho salmon",2,"SO2",2.91,"anomaly"
"Salmon","Coho salmon",2,"AT",2.62,"anomaly"
"Salmon","Coho salmon",2,"PR",1.92,"anomaly"
"Salmon","Coho salmon",2,"MHW",2.59,"anomaly"
"Flatfish","Dover sole",3,"BT",1.53,"anomaly"
"Flatfish","Dover sole",3,"BS",1.43,"anomaly"
"Flatfish","Dover sole",3,"BpH",4,"anomaly"
"Flatfish","Dover sole",3,"PhT",1,"anomaly"
